modality,n_features,task,model,fold,test_subject,accuracy,f1_macro
All sensors,18,3class,LogReg,1,2,0.37628865979381443,0.40079048195200645
All sensors,18,3class,RandomForest,1,2,0.7422680412371134,0.5388563049853373
All sensors,18,3class,LogReg,2,3,0.8223350253807107,0.7962149760710912
All sensors,18,3class,RandomForest,2,3,0.8274111675126904,0.7591544325239977
All sensors,18,3class,LogReg,3,4,0.8535353535353535,0.7985127985127985
All sensors,18,3class,RandomForest,3,4,0.8434343434343434,0.6254980079681275
All sensors,18,3class,LogReg,4,5,0.8275862068965517,0.712516987966445
All sensors,18,3class,RandomForest,4,5,0.8177339901477833,0.5847594512257458
All sensors,18,3class,LogReg,5,6,0.7376237623762376,0.7386100509482736
All sensors,18,3class,RandomForest,5,6,0.8811881188118812,0.8199978766086087
All sensors,18,3class,LogReg,6,7,0.4427860696517413,0.4652082560870103
All sensors,18,3class,RandomForest,6,7,0.8606965174129353,0.7493112947658402
All sensors,18,3class,LogReg,7,8,0.7389162561576355,0.6270933008047369
All sensors,18,3class,RandomForest,7,8,0.8325123152709359,0.6174200905658705
All sensors,18,3class,LogReg,8,9,0.7376237623762376,0.5702336658467142
All sensors,18,3class,RandomForest,8,9,0.8415841584158416,0.7522836178496556
All sensors,18,3class,LogReg,9,10,0.569377990430622,0.507031421665568
All sensors,18,3class,RandomForest,9,10,0.45933014354066987,0.3221797063692366
All sensors,18,3class,LogReg,10,11,0.9121951219512195,0.8871214581948109
All sensors,18,3class,RandomForest,10,11,0.8195121951219512,0.5964356757195631
All sensors,18,3class,LogReg,11,13,0.3284313725490196,0.22200637948669444
All sensors,18,3class,RandomForest,11,13,0.3137254901960784,0.17742866018728087
All sensors,18,3class,LogReg,12,14,0.6666666666666666,0.6788642126135036
All sensors,18,3class,RandomForest,12,14,0.6813725490196079,0.5452991452991452
All sensors,18,3class,LogReg,13,15,0.6829268292682927,0.6299764166835119
All sensors,18,3class,RandomForest,13,15,0.6439024390243903,0.46053354125848034
All sensors,18,3class,LogReg,14,16,0.8872549019607843,0.7654989067779766
All sensors,18,3class,RandomForest,14,16,0.6715686274509803,0.602066210761863
All sensors,18,3class,LogReg,15,17,0.631578947368421,0.6012691898464813
All sensors,18,3class,RandomForest,15,17,0.7703349282296651,0.6287033779028853
All sensors,18,binary,LogReg,1,2,0.9278350515463918,0.9091395691154824
All sensors,18,binary,RandomForest,1,2,0.9226804123711341,0.9008686765457332
All sensors,18,binary,LogReg,2,3,0.7766497461928934,0.7684829059829059
All sensors,18,binary,RandomForest,2,3,0.9898477157360406,0.98765664160401
All sensors,18,binary,LogReg,3,4,0.9848484848484849,0.9812233285917497
All sensors,18,binary,RandomForest,3,4,1.0,1.0
All sensors,18,binary,LogReg,4,5,0.9655172413793104,0.9591772242810768
All sensors,18,binary,RandomForest,4,5,0.9310344827586207,0.9207915273132665
All sensors,18,binary,LogReg,5,6,0.9356435643564357,0.9265721555797891
All sensors,18,binary,RandomForest,5,6,1.0,1.0
All sensors,18,binary,LogReg,6,7,0.9800995024875622,0.976241134751773
All sensors,18,binary,RandomForest,6,7,0.9900497512437811,0.9877558479532164
All sensors,18,binary,LogReg,7,8,0.9802955665024631,0.9761064030131827
All sensors,18,binary,RandomForest,7,8,0.9211822660098522,0.8978616352201259
All sensors,18,binary,LogReg,8,9,0.900990099009901,0.8705128205128205
All sensors,18,binary,RandomForest,8,9,0.9455445544554455,0.9292243987896163
