task,fold,test_subject,model,n_test,accuracy,f1_macro,f1_weighted
3class,1,2,LogReg,194,0.37628865979381443,0.40079048195200645,0.30132530045340866
3class,1,2,RandomForest,194,0.7422680412371134,0.5388563049853373,0.6805370801463251
3class,1,2,HistGradBoost,194,0.6237113402061856,0.48582633053221286,0.607346443732132
3class,1,2,SVM-RBF,194,0.422680412371134,0.45831489559969646,0.40172106311223255
3class,2,3,LogReg,197,0.8223350253807107,0.7962149760710912,0.8252810501285833
3class,2,3,RandomForest,197,0.8274111675126904,0.7591544325239977,0.8210149704632159
3class,2,3,HistGradBoost,197,0.8527918781725888,0.8362464890508097,0.8622036760866189
3class,2,3,SVM-RBF,197,0.8071065989847716,0.7703022475813294,0.8098476261545678
3class,3,4,LogReg,198,0.8535353535353535,0.7985127985127985,0.8550845217511884
3class,3,4,RandomForest,198,0.8434343434343434,0.6254980079681275,0.7748199122701115
3class,3,4,HistGradBoost,198,0.8383838383838383,0.624,0.7723232323232324
3class,3,4,SVM-RBF,198,0.8535353535353535,0.8024208161194463,0.8543633771944275
3class,4,5,LogReg,203,0.8275862068965517,0.712516987966445,0.8088259718916461
3class,4,5,RandomForest,203,0.8177339901477833,0.5847594512257458,0.7515846006159826
3class,4,5,HistGradBoost,203,0.7339901477832512,0.5434318038969201,0.6993191381322897
3class,4,5,SVM-RBF,203,0.8768472906403941,0.7887186077891905,0.8640190285300977
3class,5,6,LogReg,202,0.7376237623762376,0.7386100509482736,0.7508289049178686
3class,5,6,RandomForest,202,0.8811881188118812,0.8199978766086087,0.8722092935828712
3class,5,6,HistGradBoost,202,0.8267326732673267,0.7892247610557469,0.8358847890293992
3class,5,6,SVM-RBF,202,0.7574257425742574,0.7529503604720578,0.7730662789381293
3class,6,7,LogReg,201,0.4427860696517413,0.4652082560870103,0.4792703150912106
3class,6,7,RandomForest,201,0.8606965174129353,0.7493112947658402,0.8373833312774969
3class,6,7,HistGradBoost,201,0.8706467661691543,0.7903598060983049,0.8574575319542975
3class,6,7,SVM-RBF,201,0.48258706467661694,0.5051789077212806,0.49328920369901896
3class,7,8,LogReg,203,0.7389162561576355,0.6270933008047369,0.7342270473450117
3class,7,8,RandomForest,203,0.8325123152709359,0.6174200905658705,0.7727162283749536
3class,7,8,HistGradBoost,203,0.8325123152709359,0.6200871445348084,0.7729174496088033
3class,7,8,SVM-RBF,203,0.7093596059113301,0.6478612173181385,0.7335657626050609
3class,8,9,LogReg,202,0.7376237623762376,0.5702336658467142,0.7107282898526814
3class,8,9,RandomForest,202,0.8415841584158416,0.7522836178496556,0.8206257283410282
3class,8,9,HistGradBoost,202,0.9207920792079208,0.8966259230965113,0.9182143424426475
3class,8,9,SVM-RBF,202,0.6732673267326733,0.4965079365079365,0.6440924092409241
3class,9,10,LogReg,209,0.569377990430622,0.507031421665568,0.5541849469962435
3class,9,10,RandomForest,209,0.45933014354066987,0.3221797063692366,0.3815566463470927
3class,9,10,HistGradBoost,209,0.3253588516746411,0.3551032994141227,0.23664779643162231
3class,9,10,SVM-RBF,209,0.4019138755980861,0.42137675905787003,0.39010697839858743
3class,10,11,LogReg,205,0.9121951219512195,0.8871214581948109,0.9168615366749456
3class,10,11,RandomForest,205,0.8195121951219512,0.5964356757195631,0.7584139063897033
3class,10,11,HistGradBoost,205,0.8048780487804879,0.5808125829520018,0.7389807611750568
3class,10,11,SVM-RBF,205,0.8634146341463415,0.7719510490262499,0.8501035898832067
3class,11,13,LogReg,204,0.3284313725490196,0.22200637948669444,0.20283610649520795
3class,11,13,RandomForest,204,0.3137254901960784,0.17742866018728087,0.17413414573657982
3class,11,13,HistGradBoost,204,0.29411764705882354,0.15151515151515152,0.13368983957219252
3class,11,13,SVM-RBF,204,0.3088235294117647,0.18565266862480487,0.16571639372586375
3class,12,14,LogReg,204,0.6666666666666666,0.6788642126135036,0.6793273383644075
3class,12,14,RandomForest,204,0.6813725490196079,0.5452991452991452,0.6303418803418803
3class,12,14,HistGradBoost,204,0.5490196078431373,0.49917396249535084,0.5144835884592505
3class,12,14,SVM-RBF,204,0.6568627450980392,0.6717171717171717,0.6698603683897801
3class,13,15,LogReg,205,0.6829268292682927,0.6299764166835119,0.6807711793794712
3class,13,15,RandomForest,205,0.6439024390243903,0.46053354125848034,0.5917693922870694
3class,13,15,HistGradBoost,205,0.8,0.6034620098039215,0.7465705703012911
